SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.0	-	-	-	-	NO	BioGRID ORCS
2	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.001	-	-	-	-	NO	BioGRID ORCS
5	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.314951016	-	-	-	-	YES	BioGRID ORCS
6	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.003209599	-	-	-	-	NO	BioGRID ORCS
16	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	180.126	-	-	-	-	YES	BioGRID ORCS
17	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	98.458	-	-	-	-	YES	BioGRID ORCS
18	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	5.71	0.308	-	-	-	NO	BioGRID ORCS
24	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.338	-0.6	0.727	-	-	NO	BioGRID ORCS
27	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	26.441	-	-	-	-	YES	BioGRID ORCS
28	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	59.029	-	-	-	-	YES	BioGRID ORCS
29	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	30.001	-	-	-	-	YES	BioGRID ORCS
66	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.125	-	-	-	-	YES	BioGRID ORCS
67	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-3.713	-	-	-	-	YES	BioGRID ORCS
68	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.865	-	-	-	-	YES	BioGRID ORCS
69	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.233	-	-	-	-	YES	BioGRID ORCS
70	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.511	-	-	-	-	YES	BioGRID ORCS
71	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.915	-	-	-	-	YES	BioGRID ORCS
72	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.744	-	-	-	-	YES	BioGRID ORCS
73	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.615	-	-	-	-	YES	BioGRID ORCS
74	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.109	-	-	-	-	YES	BioGRID ORCS
75	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.589	-	-	-	-	YES	BioGRID ORCS
76	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.075	-	-	-	-	YES	BioGRID ORCS
77	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.089	-	-	-	-	YES	BioGRID ORCS
78	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.556	-	-	-	-	YES	BioGRID ORCS
79	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.778	-	-	-	-	YES	BioGRID ORCS
80	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-4.058	-	-	-	-	YES	BioGRID ORCS
85	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.495456138	0.892953237	1.0	0.999904461	-	NO	BioGRID ORCS
89	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.47569	0.69299	0.0034568	0.015348	-	YES	BioGRID ORCS
100	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.395956372	0.984110715	1.0	0.999807402	-	NO	BioGRID ORCS
101	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	1.261483465	0.18827501	0.988300593	0.985184989	-	NO	BioGRID ORCS
102	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.408184928	0.970400073	1.0	0.998871972	-	NO	BioGRID ORCS
103	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.268398471	0.105590795	-	-	-	NO	BioGRID ORCS
104	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.029001605	0.008813703	-	-	-	NO	BioGRID ORCS
141	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	19.79	-	-	-	-	YES	BioGRID ORCS
142	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	26.21	-	-	-	-	YES	BioGRID ORCS
143	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.41	-	-	-	-	NO	BioGRID ORCS
149	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.585	0.001460338	-	-	-	YES	BioGRID ORCS
150	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.9	0.004316497	-	-	-	YES	BioGRID ORCS
151	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-2.019	0.000423819	-	-	-	YES	BioGRID ORCS
152	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.739	0.00245408	-	-	-	YES	BioGRID ORCS
153	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-3.8	2.81e-05	-	-	-	YES	BioGRID ORCS
154	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	1.12e-05	0.00173	-	-	-	YES	BioGRID ORCS
155	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	9.1e-05	0.016894	-	-	-	YES	BioGRID ORCS
156	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.0001875	0.021441	-	-	-	YES	BioGRID ORCS
157	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	346.0	5e-07	-	-	-	YES	BioGRID ORCS
158	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	258.0	5e-07	-	-	-	YES	BioGRID ORCS
159	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	458.0	5e-07	-	-	-	YES	BioGRID ORCS
171	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	1.329652999	0.94646772	0.980203203	0.980203203	-	YES	BioGRID ORCS
172	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.463958667	-	-	-	-	NO	BioGRID ORCS
173	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.68560762	-	-	-	-	NO	BioGRID ORCS
174	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.513257	-	-	-	-	NO	BioGRID ORCS
175	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.977484119	-	-	-	-	NO	BioGRID ORCS
176	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.544378133	-	-	-	-	NO	BioGRID ORCS
177	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.418789205	-	-	-	-	NO	BioGRID ORCS
178	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	0.038998	0.981036	-	-	-	NO	BioGRID ORCS
179	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.996842452	0.0	-	-	-	YES	BioGRID ORCS
180	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.046773735	0.0	-	-	-	YES	BioGRID ORCS
181	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.031098946	0.0	-	-	-	YES	BioGRID ORCS
182	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.189751474	-1.185241956	-	-	-	NO	BioGRID ORCS
183	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.004922998	-0.168499071	-	-	-	NO	BioGRID ORCS
184	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.255588968	0.0	-	-	-	YES	BioGRID ORCS
185	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.944586962	0.0	-	-	-	YES	BioGRID ORCS
186	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.952493027	0.0	-	-	-	YES	BioGRID ORCS
187	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.821631221	0.00297	-	-	-	YES	BioGRID ORCS
188	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.841739917	0.0	-	-	-	YES	BioGRID ORCS
189	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.83558809	0.0	-	-	-	YES	BioGRID ORCS
190	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.013340679	0.0	-	-	-	YES	BioGRID ORCS
191	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.931009086	0.0	-	-	-	YES	BioGRID ORCS
192	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.875390733	0.0	-	-	-	YES	BioGRID ORCS
193	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.107243362	0.0	-	-	-	YES	BioGRID ORCS
194	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.914234727	0.0	-	-	-	YES	BioGRID ORCS
195	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.097682566	0.0	-	-	-	YES	BioGRID ORCS
196	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.586270701	0.0273	-	-	-	YES	BioGRID ORCS
197	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.080259221	0.0	-	-	-	YES	BioGRID ORCS
198	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.058680116	0.0	-	-	-	YES	BioGRID ORCS
199	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.087191116	0.00181	-	-	-	YES	BioGRID ORCS
200	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.038067178	0.0	-	-	-	YES	BioGRID ORCS
201	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.940135669	0.0	-	-	-	YES	BioGRID ORCS
202	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.905363325	0.0	-	-	-	YES	BioGRID ORCS
203	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.265738303	0.0	-	-	-	YES	BioGRID ORCS
204	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.010451003	0.0013	-	-	-	YES	BioGRID ORCS
205	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.290701743	0.0	-	-	-	YES	BioGRID ORCS
206	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.920340482	0.00203	-	-	-	YES	BioGRID ORCS
207	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.051684463	0.0	-	-	-	YES	BioGRID ORCS
208	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.899087341	0.00133	-	-	-	YES	BioGRID ORCS
209	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.222651306	0.0	-	-	-	YES	BioGRID ORCS
210	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.196084124	0.0	-	-	-	YES	BioGRID ORCS
211	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.020261496	0.0	-	-	-	YES	BioGRID ORCS
212	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.771836608	0.00286	-	-	-	YES	BioGRID ORCS
213	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.881701274	0.00311	-	-	-	YES	BioGRID ORCS
214	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.014493393	0.0	-	-	-	YES	BioGRID ORCS
215	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.95223489	0.0	-	-	-	YES	BioGRID ORCS
216	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.853760854	0.0	-	-	-	YES	BioGRID ORCS
217	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.054358129	0.0	-	-	-	YES	BioGRID ORCS
218	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.798281725	0.00164	-	-	-	YES	BioGRID ORCS
219	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.006102165	0.0	-	-	-	YES	BioGRID ORCS
220	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.09002131	0.0	-	-	-	YES	BioGRID ORCS
221	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.999389984	0.0	-	-	-	YES	BioGRID ORCS
222	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.06452160739	0.0	-	-	-	YES	BioGRID ORCS
223	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.785046642931	0.00138	-	-	-	YES	BioGRID ORCS
224	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.904366712057	0.0	-	-	-	YES	BioGRID ORCS
225	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.1701530503	0.0	-	-	-	YES	BioGRID ORCS
226	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.875352855115	0.0	-	-	-	YES	BioGRID ORCS
227	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.853953653562	0.0	-	-	-	YES	BioGRID ORCS
228	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.13100095877	0.0	-	-	-	YES	BioGRID ORCS
229	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.937003222939	0.0	-	-	-	YES	BioGRID ORCS
230	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.745549775171	0.00169	-	-	-	YES	BioGRID ORCS
232	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.07798319142	0.0	-	-	-	YES	BioGRID ORCS
233	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.786283236467	0.0014	-	-	-	YES	BioGRID ORCS
234	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.02807797232	0.0	-	-	-	YES	BioGRID ORCS
235	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.722927929713	0.00255	-	-	-	YES	BioGRID ORCS
236	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.14359488124	0.0	-	-	-	YES	BioGRID ORCS
237	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.804154052252	0.00152	-	-	-	YES	BioGRID ORCS
238	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.865959057218	0.0	-	-	-	YES	BioGRID ORCS
239	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.950333779411	0.0	-	-	-	YES	BioGRID ORCS
240	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.799322093739	0.0	-	-	-	YES	BioGRID ORCS
241	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.822120995746	0.0	-	-	-	YES	BioGRID ORCS
242	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.06682771169	0.0	-	-	-	YES	BioGRID ORCS
243	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.968183757544	0.0	-	-	-	YES	BioGRID ORCS
244	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.735464933902	0.0	-	-	-	YES	BioGRID ORCS
245	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.18574394495	0.0	-	-	-	YES	BioGRID ORCS
246	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.832355005989	0.0	-	-	-	YES	BioGRID ORCS
247	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.898262206144	0.0	-	-	-	YES	BioGRID ORCS
248	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.798741995773	0.00133	-	-	-	YES	BioGRID ORCS
249	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.993152747502	0.0	-	-	-	YES	BioGRID ORCS
250	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.07606240278	0.0	-	-	-	YES	BioGRID ORCS
251	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.2359116272	0.0	-	-	-	YES	BioGRID ORCS
252	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.763748454058	0.0207	-	-	-	YES	BioGRID ORCS
253	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.10856077238	0.0	-	-	-	YES	BioGRID ORCS
254	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.1644380282	0.0	-	-	-	YES	BioGRID ORCS
255	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.16501636527	0.0	-	-	-	YES	BioGRID ORCS
256	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.11758868531	0.0	-	-	-	YES	BioGRID ORCS
257	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.996330413357	0.0	-	-	-	YES	BioGRID ORCS
258	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.04448862822	0.0	-	-	-	YES	BioGRID ORCS
259	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.636471278653	0.00196	-	-	-	YES	BioGRID ORCS
260	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.03377445805	0.0	-	-	-	YES	BioGRID ORCS
261	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.998078888982	0.0	-	-	-	YES	BioGRID ORCS
262	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.685230052613	0.0139	-	-	-	YES	BioGRID ORCS
263	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.89223987893	0.0	-	-	-	YES	BioGRID ORCS
264	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.12878310382	0.0	-	-	-	YES	BioGRID ORCS
265	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.573487815013	0.0239	-	-	-	YES	BioGRID ORCS
266	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.24027879413	0.0	-	-	-	YES	BioGRID ORCS
267	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-0.8210224648	0.00134	-	-	-	YES	BioGRID ORCS
268	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.03297415154	0.0	-	-	-	YES	BioGRID ORCS
269	1434	ENTREZ_GENE	CSE1L	CAS|CSE1|XPO2	9606	Homo sapiens	-1.19914020399	0.0	-	-	-	YES	BioGRID ORCS
