SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
1	24336569	pubmed	Wang T (2014)	1-PMID24336569	7114	7114	Yes	5	Kolmogorov-Smirnov	Score Significance	Score.1 (Log10 (Corrected p-Value)) > 1.3	High Throughput	Positive Selection	Pool	Drug Exposure	12 Days	Etoposide	130.0 nM	-	Human CRISPR Knockout Pooled Libraries (Enriched Sub-pools)	CRISPRn	Knockout	Cas9	KBM-7	Chronic Myeloid Leukemia Cell Line	response to chemicals	1	Log10 (Corrected p-Value)	-	-	-	-	9606	H. sapiens	Phenotypic readout: cell proliferation|The threshold used to determine significant genes is -log10(corrected p-value)>1.3	BioGRID ORCS	Increased drug resistance
2	24336569	pubmed	Wang T (2014)	2-PMID24336569	7114	7114	Yes	3	Kolmogorov-Smirnov	Score Significance	Score.1 (Log10 (Corrected p-Value)) > 1.3	High Throughput	Positive Selection	Pool	Drug Exposure	12 Days	Etoposide	200.0 nM	-	Human CRISPR Knockout Pooled Libraries (Enriched Sub-pools)	CRISPRn	Knockout	Cas9	HL-60	Acute Myeloid Leukemia Cell Line	response to chemicals	1	Log10 (Corrected p-Value)	-	-	-	-	9606	H. sapiens	Phenotypic readout: cell proliferation|The threshold used to determine significant genes is -log10(corrected p-value)>1.3	BioGRID ORCS	Increased drug resistance
5	25307932	pubmed	Gilbert LA (2014)	2-PMID25307932	15976	15976	Yes	1345	Log2 Fold Change (L2FC)	Score Significance	Score.1 (Gamma (normalized log2e/t)) <= -0.1	High Throughput	Negative Selection	Pool	Timecourse	10 Days	-	-	< 1	CRISPRi (Weissman, 2014)	CRISPRi	Inhibition	dCas9-KRAB	K-562	Chronic Myeloid Leukemia Cell Line	cell proliferation	1	Gamma (normalized log2e/t)	-	-	-	-	9606	H. sapiens	inhibition of hit genes results in decreased fitness	BioGRID ORCS	Gene inhibition decreases fitness
6	25307932	pubmed	Gilbert LA (2014)	3-PMID25307932	15977	15977	Yes	142	Log2 Fold Change (L2FC)	Score Significance	Score.1 (Gamma (normalized log2e/t)) <= -0.1	High Throughput	Negative Selection	Pool	Timecourse	10 Days	-	-	< 1	CRISPRa (Weissman, 2014)	CRISPRa	Activation	sunCas9	K-562	Chronic Myeloid Leukemia Cell Line	cell proliferation	1	Gamma (normalized log2e/t)	-	-	-	-	9606	H. sapiens	activation of hit genes results in decreased fitness	BioGRID ORCS	Gene activation decreases fitness
16	26627737	pubmed	Hart T (2015)	1-PMID26627737	17630	17630	Yes	2073	BAGEL	Score Significance	Score.1 (Bayes Factor) > 1.57	High Throughput	Negative Selection	Pool	Timecourse	18 Days	-	-	~ 0.3	TKO (Toronto Knockout) v1	CRISPRn	Knockout	Cas9	HCT-116	Colorectal Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Bayes Factor (BF) above the threshold of 1.57 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.	BioGRID ORCS	Cell-essential genes
17	26627737	pubmed	Hart T (2015)	2-PMID26627737	17648	17648	Yes	1696	BAGEL	Score Significance	Score.1 (Bayes Factor) > 15.47	High Throughput	Negative Selection	Pool	Timecourse	18 Days	-	-	~ 0.3	TKO (Toronto Knockout) v1	CRISPRn	Knockout	Cas9	HeLa	Cervical Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Bayes Factor (BF) above the threshold of 15.47 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.	BioGRID ORCS	Cell-essential genes
18	27159373	pubmed	Morgens DW (2016)	1-PMID27159373	18509	18509	Yes	1878	CasTLE	Score Significance	Score.2 (p-Value) <= 0.05	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	-	CRISPRn (Bassik, 2016)	CRISPRn	Knockout	Cas9	K-562	Chronic Myeloid Leukemia Cell Line	cell proliferation	2	CasTLE Score	p-Value	-	-	-	9606	H. sapiens	Negative CasTLE scores correspond to decreased growth, positive CasTLE scores indicate increased growth	BioGRID ORCS	Cell-essential genes and growth restrictive genes
24	28474669	pubmed	Morgens DW (2017)	4-PMID28474669	20440	20440	Yes	895	CasTLE	Column Significance	-	High Throughput	Positive Selection	Pool	Toxin Exposure	14 Days	Ricin	0.25 ng/mL	-	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	K-562	Chronic Myeloid Leukemia Cell Line	response to toxin	3	CasTLE Score	CasTLE Effect	p-Value	-	-	9606	H. sapiens	Phenotypic readout: cell proliferation|authors used a cut-off of FDR<= 10% to determine significance	BioGRID ORCS	Increased resistance to toxin
27	26627737	pubmed	Hart T (2015)	3-PMID26627737	17215	17215	Yes	2197	BAGEL	Score Significance	Score.1 (Bayes Factor) > 3.2	High Throughput	Negative Selection	Pool	Timecourse	18 Days	-	-	~ 0.3	TKO (Toronto Knockout) v1	CRISPRn	Knockout	Cas9	143B	Glioblastoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Bayes Factor (BF) above the threshold of 3.2 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.	BioGRID ORCS	Cell-essential genes
28	26627737	pubmed	Hart T (2015)	4-PMID26627737	17212	17212	Yes	2038	BAGEL	Score Significance	Score.1 (Bayes Factor) > 6.84	High Throughput	Negative Selection	Pool	Timecourse	18 Days	-	-	~ 0.3	TKO (Toronto Knockout) v1	CRISPRn	Knockout	Cas9	hTERT-RPE1	Retinal Pigment Epithelium Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Bayes Factor (BF) above the threshold of 6.84 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.	BioGRID ORCS	Cell-essential genes
29	26627737	pubmed	Hart T (2015)	5-PMID26627737	17219	17219	Yes	1893	BAGEL	Score Significance	Score.1 (Bayes Factor) > 3.57	High Throughput	Negative Selection	Pool	Timecourse	18 Days	-	-	~ 0.3	TKO (Toronto Knockout) v1	CRISPRn	Knockout	Cas9	DLD-1	Colonic Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Bayes Factor (BF) above the threshold of 3.57 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.	BioGRID ORCS	Cell-essential genes
66	28162770	pubmed	Wang T (2017)	1-PMID28162770	18663	18663	Yes	2435	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	EoL-1	Eosinophilic Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
67	28162770	pubmed	Wang T (2017)	2-PMID28162770	18663	18663	Yes	2720	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	HEL	Erythroleukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
